username,repo_name,stars,repo_url
CyC2018,CS-Notes,157000,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,78000,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,49400,https://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,40300,https://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,39100,https://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,31800,https://github.com/youngyangyang04/leetcode-master
carbon-language,carbon-lang,27600,https://github.com/carbon-language/carbon-lang
huihut,interview,25900,https://github.com/huihut/interview
microsoft,calculator,25600,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,24900,https://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,21700,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20900,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18700,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,18200,https://github.com/ethereum/solidity
doocs,leetcode,17500,https://github.com/doocs/leetcode
microsoft,vcpkg,16700,https://github.com/microsoft/vcpkg
gabime,spdlog,15600,https://github.com/gabime/spdlog
catchorg,Catch2,15500,https://github.com/catchorg/Catch2
AnthonyCalandra,modern-cpp-features,14800,https://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14700,https://github.com/ssloy/tinyrenderer
